質問,回答
"y<U6704a3a9caeb3397b342c83a83d4ba76>: 山口結奈
 

 07026246269
 

 rurua0728＠docomo.ne.jp
 

 2d6cadacb7
 

 公式だと思います。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): この度は、お問い合わせをいただきありがとうございます。
 教えていただいた情報で髪にドラマを。公式オンラインショップのご登録・ご注文状況を確認いたしました。
  
 ご注文（注文番号2d6cadacb7）につきまして 保管期限が切れたとして弊社へ返送されてきておりました。
 あいにく再送は承っておりません。
  
 そのためご注文はキャンセル手続きならびに、決済のキャンセル手続きをさせていただきました。
 ※締め日によってはいったんお引き落としとなり翌月か翌々月にご返金となる場合がございます。あらかじめご了承くださいませ。
  
 改めてご希望をいただけます場合には、マイページへログイン後、新しくご注文をいただけますと幸いです。
 https://shop.kaminidoramawo.jp/
  
 ご注文は発送が完了いたしましたらメールにてその旨をご連絡させていただきます。
 お受け取りのほどなにとぞよろしくお願いいたします。"
ᅠᅠᅠᅠᅠᅠᅠ<U398e8041f27d1512f464f22e140618c2>: 注文について,
永井（宮島）伸枝<Ub17fa33df7f30e90634dbaf2cd9685ba>: ありがとうございました。,
"saya<U4eef2abd25e77b5618d25bf5dd3ff0ee>: 定期解約していましたが請求書を発送したとのメールが来ました
 商品も発送完了となっていました。
 物はまだ確認しておりません。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 ・ご購入いただいたサイト名（髪にドラマを。公式オンラインショップ、楽天市場、Amazon、Qoo10など）"
"saya<U4eef2abd25e77b5618d25bf5dd3ff0ee>: 澤口沙耶
 08033337982
 ysryu0730@gmail.com
 318112f307
 公式サイト","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お客様情報の確認が取れました、ありがとうございます。
 

 恐れ入りますが、当方にて確認したところ、該当の定期便につきまして「解約」のお手続きを完了された履歴が確認できませんでした。
 

 定期便が解約されていないために発送となった次第でございます。
 

 このたびのお届けにつきまして、ご登録のメールアドレス宛にメールでもご連絡をさせていただいている履歴も確認できました。
 

 商品は、7月5日お届け予定でございます。
 お受け取りのほど、どうぞよろしくお願いいたします。
 

 ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
 

 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 また、ご返品の場合には、お手元に届いた請求書は破棄していただけますようお願いいたします。
 （今回はこのままお受け取り（ご購入）いただけます場合には、お支払いのほどよろしくお願いいたします。）
 

 ご不明な点等ございましたらお気軽にご連絡くださいませ。"
RIE<U3b29d4974aa51f0164db0b5016d48b3a>: 注文について,
田邊 彩華<U58cb9c28f1e95e41cc412c610d48b3b1>: 注文について,
麝嶋 加代子<U9244e56d421a3fd3ed8662e116ff6646>: 注文について,
齊藤（柴田）雅子<U5df2f43ffa51fcedb353e792c5248aa8>: 正しい使い方,
れいな<U6b04d1715322b1d58ae7d57ce09d1ec1>: 注文について,
芽衣<U6934f4cdb1c19b9bb530eaa26999aa7b>: 注文について,
あんこ<Uc93308cf91a901a1fedfa035c79df558>: 注文について,
かりな<U62a13f7672179dc31733b6dc3072bb8b>: 正しい使い方,
瑞穂<U316aaeae559f67e760e0d5348e589181>: 注文について,
やまもとあやか<U30b13ef6c880909d286bc31860399517>: 正しい使い方,
ASUKA<Uf18d4e71ec07cd319342628461f5bfa6>: 注文について,
荻原華純<Ub8ce17547361f968f0c278f86c7e272e>: メッセージの送信を取り消しました,
"ふみこ<U1fa3842d726ed32ec74d62c6139c6832>: 退会希望
 北岡富美子
 09088825631
 fumin88825631@yahoo.co.jp","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご依頼を受け、髪にドラマを。公式オンラインショップの退会手続きが完了しました。
 これまでご利用いただき、誠にありがとうございました。
 

 また私たちでヘアケアをお手伝いできることがありましたら、嬉しく思います。
 その際には、お気軽にご連絡くださいませ。"
瀧本 渚<Ud305ef7f219ffe2194f6276555836b4f>: 注文について,
ai takamoto<U0837f00591e2749d544b1fc71ab62e9f>: 注文について,
宮アキコ<U2cac0e1884f05a8a71df9b1e1e61f48d>: 注文について,
のぞみ<U6ed44a46add32e57d998d94417f5bba5>: 注文について,
"かにゃ<Uf0625a7ef7767ad23ae643548aab1e61>: アウトバスのヘアオイルですが
 よくアイロン前にオイルを使うと髪の毛が硬くなったり
 ダメージが起こりやすいからダメと言われてますが
 こちらのヘアオイルは使用した方が良いのでしょうか✨️？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご質問いただきありがとうございます😊
 

 確かに、一部のヘアオイルでは成分の性質や使用方法によって、アイロン前に使うことで髪が硬くなったり、ダメージの原因となる場合もございます。
 

 ですが、すべてのオイルがNGというわけではありません。
 

 たとえば、「いるかのせなか。ヘアオイル」は、ドライヤーやアイロンなど熱を加える前の使用に適した処方がされており、アイロン前のご使用をおすすめしております。
 

 

 ▼いるかのせなか。オイルは“アイロン前”におすすめの理由
 

 

 ・熱ダメージから髪を守る
  → 高い耐熱性を持つ成分を配合。熱による乾燥やパサつきから髪をしっかり保護します。
 

 ・キューティクル補修効果
  → 熱を加えることでキューティクルを整える処方。ツヤ感・まとまりアップ。
 

 ・重たくならず、しなやかに仕上がる
  → 揮発性シリコン採用で、ベタつきや硬さが出にくく、自然な手触りに。
 

 ・アイロンの熱が伝わりやすく、低温でも仕上がりやすい
  → 結果として、必要以上に高温にせずともスタイリングしやすくなり、髪の負担を軽減できます。
 

 

 「アイロン前のヘアオイル＝NG」ではなく、どんなオイルを、どう使うかがとても大切です。
 

 「いるかのせなか。オイル」は、熱との相性を考えて開発された処方なので、むしろ髪を守りながら、スタイルを美しく仕上げるための心強い味方になります✨
 ぜひ、ご検討くださいませ。
 

 ▼いるかのせなか。オイルの商品詳細はこちら
 https://shop.kaminidoramawo.jp/shop/products/kdr037"
信安早紀<U391ca6ab6825d86957273f9fb9bd2c0f>: ご対応ありがとうございました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): こちらこそ、ご丁寧にご連絡いただきありがとうございます。
 今後とも「髪にドラマを。」をよろしくお願いいたします。"
